"PVWatts Hourly PV Performance Data"
"Requested Location","94568, USA"
"Location","Lat, Lng: 37.69, -121.9"
"Latitude (DD)","37.69"
"Longitude (DD)","-121.90"
"Elevation (m)","100.84999847412"
"DC System Size (kW)","34.5"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","8","10","905","83","21","2.8","0.13","865.918","39.183","24308.574","23310.481"
"10","8","11","923","85","22","3","0.13","937.562","41.009","26022.103","24963.294"
"10","8","12","922","85","23","3.3","0.13","931.482","40.979","25866.444","24813.15"
"10","8","13","888","88","22","3.6","0.13","842.399","37.529","23827.28","22846.242"
"10","8","14","847","80","21","3.7","0.13","690.313","33.558","19994.803","19149.565"
"10","8","15","764","68","20","3.7","0.13","483.799","28.823","14371.699","13725.709"
"10","8","16","596","48","19","3.4","0.13","242.383","23.513","6592.134","6221.806"
"10","8","17","116","9","16","2.5","0.13","17.202","16.257","203.445","59.493"
"10","8","18","0","0","14","1.6","0.13","0","14","0","0"
"10","8","19","0","0","13","1.2","0.13","0","13","0","0"
"10","8","20","0","0","12","1","0.13","0","12","0","0"
"10","8","21","0","0","12","0.9","0.13","0","12","0","0"
"10","8","22","0","0","11","0.9","0.13","0","11","0","0"
"10","8","23","0","0","11","0.9","0.13","0","11","0","0"
"10","9","0","0","0","11","0.9","0.13","0","11","0","0"
"10","9","1","0","0","11","0.9","0.13","0","11","0","0"
"10","9","2","0","0","11","0.9","0.13","0","11","0","0"
"10","9","3","0","0","11","0.8","0.13","0","11","0","0"
"10","9","4","0","0","11","0.8","0.13","0","11","0","0"
"10","9","5","0","0","11","0.8","0.13","0","11","0","0"
"10","9","6","234","18","12","0.9","0.13","46.73","13.038","626.167","467.237"
"10","9","7","655","48","15","0.9","0.13","285.888","23.859","8028.971","7607.729"
"10","9","8","807","62","18","0.9","0.13","526.594","34.6","15295.167","14616.455"
"10","9","9","879","70","20","1.1","0.13","723.251","41.618","20272.147","19417.081"
"10","9","10","891","87","22","1.4","0.13","856.6","45.789","23418.916","22452.348"
"10","9","11","908","90","23","1.8","0.13","927.299","46.56","25170.766","24142.123"
"10","9","12","904","91","23","2.2","0.13","919.451","44.544","25174.22","24145.455"
"10","9","13","834","109","23","2.4","0.13","823.593","41.59","22911.049","21962.476"
"10","9","14","779","101","22","2.5","0.13","666.83","36.803","19053.375","18241.495"
"10","9","15","686","84","21","2.6","0.13","458.962","31.029","13492.846","12877.998"
"10","9","16","514","55","20","2.4","0.13","222.734","24.926","6017.46","5667.495"
"10","9","17","0","0","17","1.8","0.13","0","0","0","0"
"10","9","18","0","0","15","1.5","0.13","0","15","0","0"
"10","9","19","0","0","13","1.2","0.13","0","13","0","0"
"10","9","20","0","0","13","1.1","0.13","0","13","0","0"
"10","9","21","0","0","12","1","0.13","0","12","0","0"
"10","9","22","0","0","12","1","0.13","0","12","0","0"
"10","9","23","0","0","12","1.1","0.13","0","12","0","0"
"10","10","0","0","0","12","1.1","0.13","0","12","0","0"
"10","10","1","0","0","12","1","0.13","0","12","0","0"
"10","10","2","0","0","11","1","0.13","0","11","0","0"
"10","10","3","0","0","11","1","0.13","0","11","0","0"
"10","10","4","0","0","11","1","0.13","0","11","0","0"
"10","10","5","0","0","11","1","0.13","0","11","0","0"
"10","10","6","0","24","12","1.5","0.13","22.689","12.524","401.189","250.23"
"10","10","7","520","66","14","2","0.13","257.922","20.221","7358.029","6960.562"
"10","10","8","698","89","16","1.9","0.13","495.36","28.385","14707.658","14049.765"
"10","10","9","786","103","19","1.5","0.13","694.611","37.885","19736.784","18900.688"
"10","10","10","812","121","21","1.3","0.13","830.992","44.614","22808.377","21863.443"
"10","10","11","825","129","22","1.4","0.13","899.582","46.953","24359.403","23359.509"
"10","10","12","818","131","23","1.8","0.13","890.238","45.612","24248.366","23252.407"
"10","10","13","802","122","23","2.3","0.13","808.735","41.601","22495.36","21561.517"
"10","10","14","757","108","22","2.6","0.13","658.76","36.36","18853.914","18049.102"
"10","10","15","662","89","21","2.7","0.13","449.734","30.653","13234.644","12628.945"
"10","10","16","455","61","19","2.6","0.13","209.27","23.463","5682.92","5344.809"
"10","10","17","0","0","16","2.5","0.13","0","0","0","0"
"10","10","18","0","0","14","2.5","0.13","0","14","0","0"
"10","10","19","0","0","14","2.5","0.13","0","14","0","0"
"10","10","20","0","0","13","2.4","0.13","0","13","0","0"
"10","10","21","0","0","13","2.5","0.13","0","13","0","0"
"10","10","22","0","0","12","2.1","0.13","0","12","0","0"
"10","10","23","0","0","12","1.4","0.13","0","12","0","0"
"10","11","0","0","0","11","1","0.13","0","11","0","0"
"10","11","1","0","0","11","1","0.13","0","11","0","0"
"10","11","2","0","0","11","1.1","0.13","0","11","0","0"
"10","11","3","0","0","11","1.2","0.13","0","11","0","0"
"10","11","4","0","0","11","1.5","0.13","0","11","0","0"
"10","11","5","0","0","11","1.9","0.13","0","11","0","0"
"10","11","6","0","23","11","2.4","0.13","21.727","11.417","385.391","234.992"
"10","11","7","0","44","13","2.9","0.13","40.71","13.839","1155.434","977.75"
"10","11","8","0","82","15","3.1","0.13","76.159","16.517","2191.74","1977.335"
"10","11","9","0","92","16","3.1","0.13","85.385","17.697","2431.31","2208.417"
"10","11","10","10","213","18","3.3","0.13","212.008","22.071","6093.58","5740.917"
"10","11","11","0","81","19","3.6","0.13","75.172","20.376","2083.238","1872.677"
"10","11","12","0","61","19","3.7","0.13","56.578","20.02","1551.9","1360.167"
"10","11","13","0","94","18","3.8","0.13","87.24","19.551","2452.11","2228.479"
"10","11","14","0","77","17","3.8","0.13","71.376","18.272","2016.605","1808.406"
"10","11","15","0","24","15","3.9","0.13","22.182","15.391","609.107","450.781"
"10","11","16","0","15","14","3.7","0.13","13.846","14.251","371.198","221.302"
"10","11","17","0","0","13","3.4","0.13","0","0","0","0"
"10","11","18","0","0","13","2.9","0.13","0","13","0","0"
"10","11","19","0","0","13","2.3","0.13","0","13","0","0"
"10","11","20","0","0","13","1.8","0.13","0","13","0","0"
"10","11","21","0","0","13","1.6","0.13","0","13","0","0"
"10","11","22","0","0","13","1.4","0.13","0","13","0","0"
"10","11","23","0","0","12","1","0.13","0","12","0","0"
"10","12","0","0","0","12","0.8","0.13","0","12","0","0"
"10","12","1","0","0","12","0.8","0.13","0","12","0","0"
"10","12","2","0","0","12","0.9","0.13","0","12","0","0"
"10","12","3","0","0","11","1","0.13","0","11","0","0"
"10","12","4","0","0","11","0.9","0.13","0","11","0","0"
"10","12","5","0","0","11","0.8","0.13","0","11","0","0"
"10","12","6","0","3","12","1.2","0.13","2.764","12.069","44.16","0"
