history:PRFTA_275_M01/PM_01_powerReal
01-Jan-21 12:00 AM PST  to  31-Dec-21 11:59 PM PST

Timestamp,Trend Flags,Status,Value (kW)
"04-Jan-21 10:45:00 AM PST","{ }","{ok}","5.9 kW"
"04-Jan-21 11:00:00 AM PST","{ }","{ok}","32.0 kW"
"04-Jan-21 11:15:00 AM PST","{ }","{ok}","6.1 kW"
"04-Jan-21 11:30:00 AM PST","{ }","{ok}","2.6 kW"
"04-Jan-21 11:45:00 AM PST","{ }","{ok}","3.3 kW"
"04-Jan-21 12:00:00 PM PST","{ }","{ok}","2.6 kW"
"04-Jan-21 12:15:00 PM PST","{ }","{ok}","6.2 kW"
"04-Jan-21 12:30:00 PM PST","{ }","{ok}","32.3 kW"
"04-Jan-21 12:45:00 PM PST","{ }","{ok}","6.9 kW"
"04-Jan-21 1:00:00 PM PST","{ }","{ok}","32.3 kW"
"04-Jan-21 1:15:00 PM PST","{ }","{ok}","32.1 kW"
"04-Jan-21 1:30:00 PM PST","{ }","{ok}","7.2 kW"
"04-Jan-21 1:45:00 PM PST","{ }","{ok}","6.6 kW"
"04-Jan-21 2:00:00 PM PST","{ }","{ok}","33.4 kW"
"04-Jan-21 2:15:00 PM PST","{ }","{ok}","31.8 kW"
"04-Jan-21 2:30:00 PM PST","{ }","{ok}","32.6 kW"
"04-Jan-21 2:45:00 PM PST","{ }","{ok}","4.7 kW"
"04-Jan-21 3:00:00 PM PST","{ }","{ok}","30.9 kW"
"04-Jan-21 3:15:00 PM PST","{ }","{ok}","5.6 kW"
"04-Jan-21 3:30:00 PM PST","{ }","{ok}","32.2 kW"
"04-Jan-21 3:45:00 PM PST","{ }","{ok}","31.2 kW"
"04-Jan-21 4:00:00 PM PST","{ }","{ok}","5.2 kW"
"04-Jan-21 4:15:00 PM PST","{ }","{ok}","31.7 kW"
"04-Jan-21 4:30:00 PM PST","{ }","{ok}","4.3 kW"
"04-Jan-21 4:45:00 PM PST","{ }","{ok}","5.3 kW"
"04-Jan-21 5:00:00 PM PST","{ }","{ok}","30.5 kW"
"04-Jan-21 5:15:00 PM PST","{ }","{ok}","6.4 kW"
"04-Jan-21 5:30:00 PM PST","{ }","{ok}","33.7 kW"
"04-Jan-21 5:45:00 PM PST","{ }","{ok}","33.1 kW"
"04-Jan-21 6:00:00 PM PST","{ }","{ok}","7.7 kW"
"04-Jan-21 6:15:00 PM PST","{ }","{ok}","3.8 kW"
