DateTime,Temperature_C
2025-07-01 16:10:00,-21.770431640625002
2025-07-01 16:15:00,-17.102869140625
2025-07-01 16:20:00,-16.442203125000002
2025-07-01 16:25:00,-19.78843359375
2025-07-01 16:30:00,-22.894421875000003
2025-07-01 16:35:00,-25.391224609375
2025-07-01 16:40:00,-27.381802734375004
2025-07-01 16:45:00,-28.9691171875
2025-07-01 16:50:00,-30.230388671874998
2025-07-01 16:55:00,-31.259998046875
2025-07-01 17:00:00,-32.083685546875
2025-07-01 17:05:00,-32.7443515625
2025-07-01 17:10:00,-33.2248359375
2025-07-01 17:15:00,-33.671
2025-07-01 17:20:00,-34.074263671875
2025-07-01 17:25:00,-34.434626953125004
2025-07-01 17:30:00,-34.7349296875
2025-07-01 17:35:00,-35.000912109375
2025-07-01 17:40:00,-35.02665234375
2025-07-01 17:45:00,-35.12961328125
2025-07-01 17:50:00,-35.3526953125
2025-07-01 17:55:00,-35.541457031250005
2025-07-01 18:00:00,-35.713058593750006
2025-07-01 18:05:00,-35.841759765625
2025-07-01 18:10:00,-36.082001953125
2025-07-01 18:15:00,-36.270763671875
2025-07-01 18:20:00,-36.43378515625
2025-07-01 18:25:00,-36.26218359375
2025-07-01 18:30:00,-34.623388671875
2025-07-01 18:35:00,-34.537587890625005
2025-07-01 18:40:00,-35.035232421875
2025-07-01 18:45:00,-35.36985546875
2025-07-01 18:50:00,-35.73021875
2025-07-01 18:55:00,-36.047681640625
2025-07-01 19:00:00,-36.29650390625
2025-07-01 19:05:00,-36.3136640625
2025-07-01 19:10:00,-34.88079101562501
2025-07-01 19:15:00,-34.880791015625
2025-07-01 19:20:00,-35.567197265625005
2025-07-01 19:25:00,-36.030521484375
2025-07-01 19:30:00,-36.064841796875
2025-07-01 19:35:00,-34.692029296875
2025-07-01 19:40:00,-34.983751953125
2025-07-01 19:45:00,-35.755958984375
2025-07-01 19:50:00,-36.202123046875
2025-07-01 19:55:00,-35.592937500000005
2025-07-01 20:00:00,-34.68344921875
2025-07-01 20:05:00,-35.472816406250004
2025-07-01 20:10:00,-36.099162109375
2025-07-01 20:15:00,-35.507136718750004
2025-07-01 20:20:00,-34.709189453125006
2025-07-01 20:25:00,-35.541457031250005
2025-07-01 20:30:00,-36.116322265625
2025-07-01 20:35:00,-35.146773437499995
2025-07-01 20:40:00,-34.81215039062501
2025-07-01 20:45:00,-35.73021875
2025-07-01 20:50:00,-36.0391015625
2025-07-01 20:55:00,-34.81215039062501
2025-07-01 21:00:00,-34.606228515625006
2025-07-01 21:05:00,-34.202964843749996
2025-07-01 21:10:00,-33.533718750000006
2025-07-01 21:15:00,-32.71003125
2025-07-01 21:20:00,-31.809123046875005
2025-07-01 21:25:00,-30.90821484375
2025-07-01 21:30:00,-29.930085937500003
